SubscriberKey,FirstName,LastName,EmailAddress,City,Consent_Email
CID001,Alice,Brown,alice@email.com,New York,1
CID002,Bob,Smith,bob@email.com,Los Angeles,1
CID003,Charlie,Davis,charlie@email.com,Chicago,0
CID004,Dana,Lee,dana@email.com,Houston,1
CID005,Eva,Johnson,eva@email.com,Dallas,1
CID006,Frank,Taylor,frank@email.com,Miami,1
CID007,Grace,Wilson,grace@email.com,Atlanta,1
CID008,Henry,Moore,henry@email.com,San Francisco,1
CID009,Ivy,White,ivy@email.com,Seattle,0
CID010,Jack,Hall,jack@email.com,Denver,1
