MemberID,FirstName,EmailAddress,MembershipTier,LoyaltyPoints,Consent_Email,JoinDate
CID011,Sam,sam@example.com,Bronze,50,TRUE,2025-09-13
CID012,Riley,riley@example.com,Bronze,50,TRUE,2025-09-09
CID013,Morgan,morgan@example.com,Silver,100,TRUE,2025-09-12
CID014,Alex,alex@example.com,Bronze,50,TRUE,2025-09-10
CID015,Casey,casey@example.com,Bronze,50,TRUE,2025-09-12
CID016,Taylor,taylor@example.com,Silver,100,TRUE,2025-09-10
CID017,Jordan,jordan@example.com,Bronze,50,TRUE,2025-09-05
CID018,Jamie,jamie@example.com,Bronze,50,FALSE,2025-09-11
CID019,Quinn,quinn@example.com,Bronze,50,TRUE,2025-09-10
CID020,Avery,avery@example.com,Bronze,50,TRUE,2025-09-09
